card_id,min_amount,min_amount_source,category_id,group_name,benefit_type,rate,fixed_amount,unit_basis,raw_text
8,0,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,Gift Option Service - 매년 1회 옵션 품목 중 한 가지를 선택하여 이용
8,0,CARD_LEVEL,16,프리미엄,UNCLASSIFIED,,,,국제브랜드사 서비스 공통사항 안내
10,300000,CARD_LEVEL,10,영화,UNCLASSIFIED,,,,"CGV, 메가박스"
11,0,CARD_LEVEL,10,영화,UNCLASSIFIED,,,,온라인 영화 예매 할인
14,300000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,할인율 선택 서비스
14,300000,CARD_LEVEL,18,카페,UNCLASSIFIED,,,,"스타벅스, 커피빈"
14,300000,CARD_LEVEL,19,편의점,UNCLASSIFIED,,,,"GS25, 세븐일레븐, CU"
14,300000,CARD_LEVEL,10,영화,UNCLASSIFIED,,,,"CGV, 롯데시네마"
15,300000,CARD_LEVEL,23,바우처,UNCLASSIFIED,,,,Gift Option
35,200000,CARD_LEVEL,10,영화,UNCLASSIFIED,,,,"맥스무비, 인터파크, YES24 예매 시 할인"
37,300000,CARD_LEVEL,23,바우처,UNCLASSIFIED,,,,Gift Option Service
37,300000,CARD_LEVEL,29,여행/숙박,UNCLASSIFIED,,,,JEJU 할인
37,300000,CARD_LEVEL,18,카페,UNCLASSIFIED,,,,커피 할인
37,300000,CARD_LEVEL,1,쇼핑,UNCLASSIFIED,,,,쇼핑 할인
37,300000,CARD_LEVEL,14,생활,UNCLASSIFIED,,,,생활 할인
38,300000,CARD_LEVEL,14,생활,UNCLASSIFIED,,,,COIN-SAVE 잔돈 할인
49,0,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,아멕스 PLATINUM 등급 서비스
49,0,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,여행의 설레임을 담은 디자인으로 리뉴얼 된 삼성카드 & MILEAGE PLATINUM
50,300000,CARD_LEVEL,25,정비,UNCLASSIFIED,,,,닥터카서비스
51,300000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,라이프스타일 패키지 선택
53,300000,CARD_LEVEL,10,영화,UNCLASSIFIED,,,,"메가박스, CGV, 무비존 영화 할인"
56,500000,CARD_LEVEL,25,정비,UNCLASSIFIED,,,,닥터카 서비스
56,500000,CARD_LEVEL,16,프리미엄,UNCLASSIFIED,,,,브랜드사 서비스
57,500000,CARD_LEVEL,16,프리미엄,UNCLASSIFIED,,,,MASTER/UnionPay 서비스
58,500000,CARD_LEVEL,14,생활,UNCLASSIFIED,,,,"할인점, 소셜커머스, 커피전문점, 편의점, 영화 할인"
58,500000,CARD_LEVEL,16,프리미엄,UNCLASSIFIED,,,,(해외겸용카드 전용) MASTER PLATINUM 등급 서비스
59,500000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,라이프스타일 패키지(옵션 패키지 중 택1)
59,500000,CARD_LEVEL,16,프리미엄,UNCLASSIFIED,,,,mastercard PLATINUM 등급 서비스
61,0,CARD_LEVEL,16,프리미엄,UNCLASSIFIED,,,,American Express Selects 서비스
62,0,CARD_LEVEL,11,테마파크,UNCLASSIFIED,,,,어린이 직업체험 테마파크 할인
