card_id,min_amount,min_amount_source,category_id,group_name,benefit_type,rate,fixed_amount,unit_basis,raw_text
1,0,CARD_LEVEL,6,기타,INSTALLMENT_SERVICE,,,,무이자/영화/테마파크
11,0,CARD_LEVEL,14,생활,DISCOUNT_SERVICE_GENERIC,,,,"생활친화가맹점 잔돈할인 서비스, Coin-Save"
12,0,CARD_LEVEL,14,생활,POINT_UNSPECIFIED,,,,마이신한포인트 추가 적립
15,300000,CARD_LEVEL,20,항공마일리지,MILEAGE_UNSPECIFIED,,,,항공 마일리지 적립 서비스
16,500000,CARD_LEVEL,3,주유,POINT_UNSPECIFIED,,,,국내 주유소 리터당 40~150포인트/충전소 리터당 10~50포인트 적립
21,300000,CARD_LEVEL,14,생활,DISCOUNT_SERVICE_GENERIC,,,,잔돈 할인 서비스(Coin-Save)
35,200000,CARD_LEVEL,11,테마파크,DISCOUNT_SERVICE_GENERIC,,,,주요 놀이공원 할인 서비스
36,300000,CARD_LEVEL,28,프리미엄 서비스,PREMIUM_SERVICE,,,,Platinum# 서비스 및 국제브랜드사 서비스
37,300000,CARD_LEVEL,13,선택형,MILEAGE_UNSPECIFIED,,,,"캐시백(캐시백형 선택 시)
마일리지 적립(마일리지 적립형 선택 시)"
38,300000,CARD_LEVEL,16,프리미엄,PREMIUM_SERVICE,,,,Platinum# 서비스 및 국제브랜드사 서비스
50,300000,CARD_LEVEL,9,주유소,POINT_UNSPECIFIED,,,,S-OIL 리터당 40 보너스포인트 적립
50,300000,CARD_LEVEL,11,테마파크,DISCOUNT_SERVICE_GENERIC,,,,놀이공원 할인 서비스
53,300000,CARD_LEVEL,9,주유소,POINT_UNSPECIFIED,,,,"S-OIL 주유소에서 휘발유, 경유, 등유 주유시 리터당 40보너스포인트 적립"
56,500000,CARD_LEVEL,11,테마파크,DISCOUNT_SERVICE_GENERIC,,,,놀이공원 할인 서비스
61,0,CARD_LEVEL,3,주유,POINT_UNSPECIFIED,,,,S-OIL 주유소 주유 시 리터당 40 보너스포인트 적립
62,0,CARD_LEVEL,26,해외,POINT_UNSPECIFIED,,,,해외 쇼핑 빅포인트 적립
64,300000,CARD_LEVEL,1,쇼핑,MEMBERSHIP_BENEFIT,,,,신세계백화점·이마트 제휴 혜택
72,400000,CARD_LEVEL,7,백화점,MEMBERSHIP_BENEFIT,,,,신세계백화점 제휴 서비스
