card_id,issuer_code,card_name,card_type,status,official_url
1,SHINHAN,신한카드 Hi-Point,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/1
2,SHINHAN,신한카드 Love,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/2
3,SHINHAN,신한카드 Lady,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/3
8,SHINHAN,신한카드 The CLASSIC-Y,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/8
10,SHINHAN,신한카드 B.Big(삑),CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/10
11,SHINHAN,신한카드 Simple+,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/11
12,SHINHAN,신한카드 Air Platinum#,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/12
13,SHINHAN,신한카드 Mr.Life,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/13
14,SHINHAN,신한카드 YOLO ⓘ,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/14
15,SHINHAN,신한카드 The CLASSIC+,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/15
16,SHINHAN,신한카드 RPM+ Platinum#,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/16
18,SHINHAN,신한카드 Shopping,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/18
21,SHINHAN,신한카드 Simple Platinum#,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/21
26,SHINHAN,신한카드 Edu,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/26
28,SHINHAN,신세계 신한카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/28
35,SHINHAN,GS칼텍스 신한카드 Shine,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/35
36,SHINHAN,신한카드 Cube Platinum#,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/36
37,SHINHAN,신한카드 The BEST-F,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/37
38,SHINHAN,신한카드 Lesson Platinum#,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/38
39,SHINHAN,신한카드 Deep Oil,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/39
41,SHINHAN,신한카드 Deep On Platinum+,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/41
42,SHINHAN,SOCAR 제휴 SOCAR 신한카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/42
43,SHINHAN,신한카드 Deep Store,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/43
45,SAMSUNG,American Express Blue,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/45
46,SAMSUNG,삼성카앤모아카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/46
49,SAMSUNG,삼성카드 & MILEAGE PLATINUM (스카이패스),CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/49
50,SAMSUNG,아시아나 삼성지엔미플래티늄카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/50
51,SAMSUNG,삼성카드 taptap O,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/51
52,SAMSUNG,삼성카드 taptap S,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/52
53,SAMSUNG,아시아나 삼성애니패스플래티늄카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/53
54,SAMSUNG,삼성카드 스페셜마일리지(스카이패스),CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/54
55,SAMSUNG,CU·배달의민족 삼성카드 taptap,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/55
56,SAMSUNG,삼성카드 지엔미+,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/56
57,SAMSUNG,삼성카드 애니패스+,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/57
58,SAMSUNG,카라이프 삼성카드 DISCOUNT+,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/58
59,SAMSUNG,삼성카드 taptap I,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/59
61,SAMSUNG,스카이패스 삼성아멕스카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/61
62,SAMSUNG,글로벌쇼핑 삼성카드 5 V2,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/62
63,SAMSUNG,삼성페이 삼성카드 taptap,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/63
64,SAMSUNG,신세계이마트 삼성카드7,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/64
72,SAMSUNG,트레이더스신세계 삼성카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/72
73,WOORI,카드의정석 NEW우리V카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/73
74,WOORI,All For Me카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/74
77,WOORI,위비멤버스카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/77
80,WOORI,썸(SUM) 페이 카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/80
81,WOORI,위메프 우리카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/81
82,WOORI,우리 XGOLF 카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/82
83,WOORI,ONLY 나만의카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/83
84,WOORI,카드의정석 POINT,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/84
85,WOORI,카드의정석 SHOPPING,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/85
86,WOORI,카드의정석 DISCOUNT,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/86
87,WOORI,DA@카드의정석,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/87
88,WOORI,D4@카드의정석,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/88
89,WOORI,우리Most카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/89
90,WOORI,카드의정석 위비온 플러스,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/90
91,WOORI,카드의정석 PREMIUM POINT,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/91
92,WOORI,카드의정석 PREMIUM MILEAGE(SKYPASS),CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/92
93,WOORI,카드의정석 PREMIUM MILEAGE(AsianaClub),CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/93
94,WOORI,LoL CHAMPIONS KOREA 우리카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/94
106,KB,굿데이카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/106
107,KB,SK LPG SAVE KB국민카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/107
108,KB,와이즈카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/108
109,SHINHAN,SK에너지 러브유 KB국민카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/109
112,SHINHAN,GS행복가득카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/112
113,KB,마일리지 가온카드(대한항공),CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/113
114,KB,마일리지 가온카드(아시아나),CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/114
115,KB,굿데이올림카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/115
116,KB,청춘대로카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/116
120,KB,ONE카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/120
121,KB,다담카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/121
122,KB,모바일101카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/122
125,KB,E1 LPG KB국민카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/125
126,KB,아시아나 올림카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/126
127,KB,청춘대로 매니아i카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/127
129,KB,청춘대로 톡톡카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/129
130,KB,BeV V카드(포인트형),CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/130
131,KB,BeV V카드(스카이패스형),CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/131
132,KB,청춘대로 1코노미 카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/132
133,KB,BeV Ⅲ 카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/133
134,KB,탄탄대로 온리유카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/134
136,KB,가온 워킹업카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/136
138,KB,스카이패스 KB국민카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/138
139,KB,아시아나항공 KB국민카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/139
140,KB,S-OIL LPG KB국민카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/140
141,KB,KB국민 펫코노미 카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/141
142,KB,톡톡 Pay카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/142
143,KB,청춘대로 꿀맛α카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/143
144,KB,청춘대로 꿀잠α카드,CREDIT,ACTIVE,https://www.card-gorilla.com/card/detail/144
