카드사,카드명,카드유형,연회비,전월실적조건,상세페이지
신한카드,신한카드 처음 (ANNIVERSE),신용,1.5만원,없음,/cards/shinhan-anniverse/
NH농협카드,NH K-패스 카드 (신용),신용,없음,없음,/cards/nh-kpass/
신한카드,신한카드 Air One,신용,4.9만원,없음,/cards/shinhan-air-one/
신한카드,신한카드 Deep Oil,신용,1만원,없음,/cards/shinhan-deep-oil/
신한카드,신한카드 Simple Plan+,신용,4.7만원,없음,/cards/shinhan-simple-plan-plus/
신한카드,신한카드 The BEST-F,신용,20.2만원,없음,/cards/shinhan-the-best-f/
하나카드,#any 하나카드,신용,없음,없음,/cards/hana-any-credit/
하나카드,하나카드 트래블로그 신용카드,신용,없음,없음,/cards/hana-travelog-credit/
BC카드,BC 페이북 머니 체크카드,체크,없음,없음,/cards/bc-paybook-money-check/
하나카드,시코르 체크카드,체크,없음,20만원,/cards/hana-cicor-check/
하나카드,달달 하나 체크카드,체크,없음,30만원,/cards/hana-daldal-check/
하나카드,HoYoverse 체크카드,체크,없음,20만원,/cards/hana-hoyoverse-check/
하나카드,카카오페이 트래블로그 체크카드,체크,없음,20만원,/cards/hana-kakaopay-travelog-check/
하나카드,MULTI Any 체크카드,체크,없음,없음,/cards/hana-multi-any-check/
하나카드,하나 더 소호 카드,신용,2.3만원,50만원,/cards/hana-the-soho/
하나카드,트래블GO 체크카드,체크,없음,20만원,/cards/hana-travelgo-check/
하나카드,하나카드 트래블로그,신용,2만원,없음,/cards/hana-travellog/
하나카드,하나카드 트래블로그 체크카드,체크,없음,없음,/cards/hana-travelog-check/
KB국민카드,KB국민 Liiv Mate 카드,신용,1.2만원,30만원,/cards/kb-liiv-mate-credit/
롯데카드,롯데 LOCA LIKIT 1.2,신용,1만원,없음,/cards/lotte-loca-likit-1-2/
롯데카드,롯데 LOCA LIKIT Eat,신용,1만원,40만원,/cards/lotte-loca-likit-eat/
롯데카드,롯데 LOCA LIKIT,신용,1만원,40만원,/cards/lotte-loca-likit/
NH농협카드,NH채움 K-패스카드(체크),체크,없음,20만원,/cards/nh-chaeum-kpass-check/
삼성카드,AI 구독 클럽 삼성카드,신용,2만원,없음,/cards/samsung-ai-club/
삼성카드,알라딘 만권당 삼성카드,신용,1.5만원,없음,/cards/samsung-aladin/
삼성카드,American Express Blue,신용,1.5만원,없음,/cards/samsung-amex-blue/
삼성카드,American Express® Reserve,신용,15만원,없음,/cards/samsung-amex-reserve/
삼성카드,삼성 BIZ iD BENEFIT 카드,신용,3만원,없음,/cards/samsung-biz-id-benefit/
삼성카드,BIZ THE iD. PLATINUM (포인트),신용,24만원,없음,/cards/samsung-biz-the-id-platinum-point/
삼성카드,번개장터 삼성카드,신용,2만원,없음,/cards/samsung-bunjang/
삼성카드,기후동행 삼성카드,신용,0.7만원,없음,/cards/samsung-climate-action/
삼성카드,CU·배달의민족 삼성카드 taptap,신용,1만원,없음,/cards/samsung-cu-baemin-taptap/
삼성카드,단비교육 삼성카드,신용,1.5만원,없음,/cards/samsung-danbi-edu/
삼성카드,이마트신세계 삼성카드,신용,1.5만원,없음,/cards/samsung-emart-shinsegae/
삼성카드,에버랜드 삼성카드,신용,2만원,없음,/cards/samsung-everland/
삼성카드,G마켓 삼성카드,신용,1.5만원,없음,/cards/samsung-gmarket/
삼성카드,하나투어 삼성카드,신용,2만원,없음,/cards/samsung-hanatour/
삼성카드,한화이글스 삼성카드,신용,2만원,없음,/cards/samsung-hanwha-eagles/
삼성카드,하이마트 삼성카드,신용,1.8만원,없음,/cards/samsung-hi-mart/
삼성카드,삼성 iD ALL 카드 (포인트),신용,2만원,없음,/cards/samsung-id-all-point/
삼성카드,삼성 iD ALL 카드,신용,2만원,없음,/cards/samsung-id-all/
삼성카드,삼성 iD AUTO 카드,신용,4.9만원,없음,/cards/samsung-id-auto/
삼성카드,삼성 iD ENERGY 카드,신용,2만원,없음,/cards/samsung-id-energy/
삼성카드,삼성 iD GLOBAL 카드,신용,2만원,없음,/cards/samsung-id-global/
삼성카드,삼성 iD MOVE 카드,신용,2만원,없음,/cards/samsung-id-move/
삼성카드,삼성카드 iD ON,신용,2만원,없음,/cards/samsung-id-on/
삼성카드,삼성 iD ONE 카드,신용,5만원,없음,/cards/samsung-id-one/
삼성카드,삼성 iD PET 카드,신용,1.5만원,없음,/cards/samsung-id-pet/
삼성카드,삼성카드 THE iD. PLATINUM 포인트,신용,22만원,없음,/cards/samsung-id-platinum-point/
삼성카드,삼성 iD PLUG-IN 카드,신용,70만원,없음,/cards/samsung-id-plugin/
삼성카드,삼성 iD SELECT ALL 카드,신용,2만원,없음,/cards/samsung-id-select-all-2/
삼성카드,삼성 iD SELECT ON 카드,신용,2만원,없음,/cards/samsung-id-select-on/
삼성카드,삼성 iD SIMPLE 카드,신용,0.7만원,없음,/cards/samsung-id-simple/
삼성카드,삼성 iD STATION 카드 (GS칼텍스),신용,1.5만원,없음,/cards/samsung-id-station-gs/
삼성카드,삼성 iD STATION 카드 (HD현대오일뱅크),신용,1.5만원,없음,/cards/samsung-id-station-hd-hyundai/
삼성카드,삼성 iD STATION 카드 (SK에너지),신용,1.5만원,없음,/cards/samsung-id-station-sk/
삼성카드,삼성 iD VITA 카드,신용,2만원,없음,/cards/samsung-id-vita/
삼성카드,K-패스 삼성카드,신용,1만원,없음,/cards/samsung-k-pass/
삼성카드,KTX 삼성카드,신용,2만원,없음,/cards/samsung-ktx/
삼성카드,삼성라이온즈카드,신용,2만원,없음,/cards/samsung-lions/
삼성카드,롯데마트 삼성카드,신용,2만원,없음,/cards/samsung-lottemart/
삼성카드,엠베스트 엘리하이 삼성카드,신용,1.5만원,없음,/cards/samsung-mbest-elihi/
삼성카드,삼성카드 & MILEAGE PLATINUM (스카이패스),신용,4.9만원,없음,/cards/samsung-mileage-platinum-skypass/
삼성카드,모니모A 카드,신용,1만원,없음,/cards/samsung-monimo-a/
삼성카드,모니모카드,신용,1만원,없음,/cards/samsung-monimo/
삼성카드,무신사 삼성카드,신용,1만원,없음,/cards/samsung-musinsa/
삼성카드,MY S-OIL 삼성카드,신용,2만원,없음,/cards/samsung-my-s-oil/
삼성카드,네이버웹툰 삼성 iD 카드,신용,1만원,없음,/cards/samsung-naver-webtoon-id/
삼성카드,네이버페이 taptap,신용,1.5만원,없음,/cards/samsung-naverpay-taptap/
삼성카드,넥센타이어 삼성카드,신용,1.5만원,없음,/cards/samsung-nexen/
삼성카드,오아시스 삼성카드,신용,1.5만원,없음,/cards/samsung-oasis/
삼성카드,삼성화재 삼성카드,신용,3만원,없음,/cards/samsung-samsung-fire/
삼성카드,삼성생명 삼성카드,신용,3만원,없음,/cards/samsung-samsung-life/
삼성카드,삼성 페이 삼성카드 taptap,신용,1만원,없음,/cards/samsung-samsungpay-taptap/
삼성카드,SHILLA REWARDS 삼성카드,신용,70만원,없음,/cards/samsung-shilla-rewards/
삼성카드,신세계 신백리워드 삼성카드,신용,2만원,없음,/cards/samsung-shinsegae-rewards/
삼성카드,삼성카드 스페셜마일리지 (스카이패스),신용,9.9만원,없음,/cards/samsung-special-mileage-skypass/
삼성카드,스타벅스 삼성카드,신용,3만원,없음,/cards/samsung-starbucks/
삼성카드,taptap DIGITAL,신용,1만원,없음,/cards/samsung-taptap-digital/
삼성카드,taptap DRIVE,신용,1만원,없음,/cards/samsung-taptap-drive/
