card_id,raw_text
1,전국가맹점 0.2~2.0% 적립 · 특정가맹점 1~5% 적립 · 에이치디현대오일뱅크 60원/L 적립
1,백화점/할인점/홈쇼핑·온라인몰 1.0~5.0% 적립
1,"전국 가맹점 0.2~2.0% 적립
해외 가맹점 1~5% 적립"
1,"S-OIL, 에이치디현대오일뱅크 주유 시 리터 당 60원 적립"
1,"신한투자증권 CMA 결제계좌 0.2% 추가 적립
마이신한포인트 가맹점 추가 적립"
1,SK텔레콤/KT/LG U+ 이동통신요금 1.0~5.0% 적립
1,적립
1,포인트 적립상세 및 포인트 사용 안내
1,"직원이 뽑은 2024 메인 생활비 카드 TOP5ㅣ 고물가 시대, 고정비 할인이 답!"
1,[추천] 상테크 카드로 마일리지 적립까지 가능하다고? 상테크 카드에 주목해야 할 이유 (ft.상테크 카드 추천)
2,백화점/할인점 5% 할인 · 스타벅스 20% 할인 · GS칼텍스 60원/L 할인
2,"국내 유명 백화점, 할인점, 온라인 쇼핑몰 최대 5% 할인"
2,"국내 유명 패밀리레스토랑, 커피 20~30% 할인"
2,GS칼텍스 리터당 60원 할인
2,"CGV, YES24 영화 예매시 최대 7,000원 할인"
2,적립
2,신한카드 Love포인트 적립 및 사용
2,주요 놀이공원 30~50% 할인 및 스포츠 할인 서비스
2,"프로야구, 프로농구 할인 서비스"
2,통합할인한도
2,CGV할인카드 TOP5
3,3대백화점 5% 할인 · 패밀리레스토랑 20% 할인 · 놀이공원 30~50% 할인
3,"3대 백화점(롯데,신세계,현대) 및 롯데마트 5% 결제일 할인"
3,국내 유명 패밀리 레스토랑 및 커피 최대 20% 할인
3,"맥스무비, 인터파크 YES24 예매시 1,500원 할인"
3,S-OIL 주유 시 리터 당 60원 적립
3,"베이비 프리미엄 제품 전문쇼핑몰 「쁘띠엘린스토어」
오프라인 매장 15%, 온라인몰 20% 할인"
3,주요 놀이공원 최대 50% 할인
3,"이동통신요금 자동이체 시 2% 결제일 할인(SKT, KT, LGT)"
3,스포츠 관람 할인 서비스
8,Gift Option 매년1회 선택이용 · 마이신한포인트 0.7~5% 적립 · GS칼텍스 60원/L 할인
8,"일시불/할부 이용금액의 0.7% 마이신한포인트 적립
해외, 명품 아울렛(신세계/롯데), 면세점, 골프 업종 이용 시 5% 마이신한포인트 적립"
8,GS칼텍스 주유 시 리터당 60원 결제일 할인
8,커피/제과/택시/화장품/영화 5% 할인
8,제주 JDC 면세점 이용 시 8% 할인
8,진에어 국제선 항공권 결제일 할인
10,대중교통 200~600원 할인 · 택시 10% 할인 · KTX 10% 할인
10,"버스, 지하철 후불 교통 이용 금액 일 200원 ~ 일 600원 할인"
10,택시/KTX 이용 금액 10% 할인
10,4대 백화점 5% 할인
10,커피전문점 10% 할인
10,편의점 5% 할인
10,이동통신요금 5% 할인
10,캐시백
10,"전기요금, 통신요금, 해외이용금액 5% 캐시백 제공 (전년도 1천만원 이상)"
10,10년만에 단통법 폐지! 과연 ‘내 통신요금’도 줄어들까? (ft.통신비 할인카드 추천)
