source_id,source_url,card_name,issuer_id,issuer_code,card_type,category_main,annual_fee_domestic,annual_fee_overseas
1,https://www.card-gorilla.com/card/detail/1,신한카드 Hi-Point,1,SHINHAN,CREDIT,교통자동차,,8000
2,https://www.card-gorilla.com/card/detail/2,신한카드 Love,1,SHINHAN,CREDIT,문화여가,,8000
3,https://www.card-gorilla.com/card/detail/3,신한카드 Lady,1,SHINHAN,CREDIT,생활,,5000
8,https://www.card-gorilla.com/card/detail/8,신한카드 The CLASSIC-Y,1,SHINHAN,CREDIT,문화여가,,100000
10,https://www.card-gorilla.com/card/detail/10,신한카드 B.Big(삑),1,SHINHAN,CHECK,문화여가,,10000
11,https://www.card-gorilla.com/card/detail/11,신한카드 Simple+,1,SHINHAN,CREDIT,문화여가,10000,13000
12,https://www.card-gorilla.com/card/detail/12,신한카드 Air Platinum#,1,SHINHAN,CREDIT,여행항공,,40000
13,https://www.card-gorilla.com/card/detail/13,신한카드 Mr.Life,1,SHINHAN,CREDIT,쇼핑,,15000
14,https://www.card-gorilla.com/card/detail/14,신한카드 YOLO ⓘ,1,SHINHAN,CREDIT,쇼핑,,18000
15,https://www.card-gorilla.com/card/detail/15,신한카드 The CLASSIC+,1,SHINHAN,CREDIT,여행항공,,120000
16,https://www.card-gorilla.com/card/detail/16,신한카드 RPM+ Platinum#,1,SHINHAN,CREDIT,교통자동차,,32000
18,https://www.card-gorilla.com/card/detail/18,신한카드 Shopping,1,SHINHAN,CREDIT,쇼핑,,20000
21,https://www.card-gorilla.com/card/detail/21,신한카드 Simple Platinum#,1,SHINHAN,CREDIT,문화여가,,30000
26,https://www.card-gorilla.com/card/detail/26,신한카드 Edu,1,SHINHAN,CREDIT,생활,,20000
28,https://www.card-gorilla.com/card/detail/28,신세계 신한카드,1,SHINHAN,CREDIT,쇼핑,,12000
35,https://www.card-gorilla.com/card/detail/35,GS칼텍스 신한카드 Shine,1,SHINHAN,CREDIT,교통자동차,,7000
36,https://www.card-gorilla.com/card/detail/36,신한카드 Cube Platinum#,1,SHINHAN,CREDIT,교통자동차,,32000
37,https://www.card-gorilla.com/card/detail/37,신한카드 The BEST-F,1,SHINHAN,CREDIT,여행항공,,202000
38,https://www.card-gorilla.com/card/detail/38,신한카드 Lesson Platinum#,1,SHINHAN,CREDIT,생활,,27000
39,https://www.card-gorilla.com/card/detail/39,신한카드 Deep Oil,1,SHINHAN,CREDIT,교통자동차,,10000
41,https://www.card-gorilla.com/card/detail/41,신한카드 Deep On Platinum+,1,SHINHAN,CHECK,여행항공,,33000
42,https://www.card-gorilla.com/card/detail/42,SOCAR 제휴 SOCAR 신한카드,1,SHINHAN,CREDIT,쇼핑,,13000
43,https://www.card-gorilla.com/card/detail/43,신한카드 Deep Store,1,SHINHAN,CREDIT,쇼핑,,13000
45,https://www.card-gorilla.com/card/detail/45,American Express Blue,3,SAMSUNG,CREDIT,외식카페,,15000
46,https://www.card-gorilla.com/card/detail/46,삼성카앤모아카드,3,SAMSUNG,CREDIT,외식카페,,10000
49,https://www.card-gorilla.com/card/detail/49,삼성카드 & MILEAGE PLATINUM (스카이패스),3,SAMSUNG,CREDIT,여행항공,,49000
50,https://www.card-gorilla.com/card/detail/50,아시아나 삼성지엔미플래티늄카드,3,SAMSUNG,CREDIT,문화여가,,
51,https://www.card-gorilla.com/card/detail/51,삼성카드 taptap O,3,SAMSUNG,CREDIT,문화여가,,10000
52,https://www.card-gorilla.com/card/detail/52,삼성카드 taptap S,3,SAMSUNG,CREDIT,문화여가,,10000
53,https://www.card-gorilla.com/card/detail/53,아시아나 삼성애니패스플래티늄카드,3,SAMSUNG,CREDIT,문화여가,,
54,https://www.card-gorilla.com/card/detail/54,삼성카드 스페셜마일리지(스카이패스),3,SAMSUNG,CREDIT,여행항공,,99000
55,https://www.card-gorilla.com/card/detail/55,CU·배달의민족 삼성카드 taptap,3,SAMSUNG,CREDIT,쇼핑,,10000
56,https://www.card-gorilla.com/card/detail/56,삼성카드 지엔미+,3,SAMSUNG,CREDIT,생활,,
57,https://www.card-gorilla.com/card/detail/57,삼성카드 애니패스+,3,SAMSUNG,CREDIT,교통자동차,,
58,https://www.card-gorilla.com/card/detail/58,카라이프 삼성카드 DISCOUNT+,3,SAMSUNG,CREDIT,교통자동차,,49000
59,https://www.card-gorilla.com/card/detail/59,삼성카드 taptap I,3,SAMSUNG,CREDIT,여행항공,,49000
61,https://www.card-gorilla.com/card/detail/61,스카이패스 삼성아멕스카드,3,SAMSUNG,CREDIT,교통자동차,,
62,https://www.card-gorilla.com/card/detail/62,글로벌쇼핑 삼성카드 5 V2,3,SAMSUNG,CREDIT,문화여가,,18000
63,https://www.card-gorilla.com/card/detail/63,삼성페이 삼성카드 taptap,3,SAMSUNG,CHECK,문화여가,,10000
64,https://www.card-gorilla.com/card/detail/64,신세계이마트 삼성카드7,3,SAMSUNG,CREDIT,쇼핑,,20000
72,https://www.card-gorilla.com/card/detail/72,트레이더스신세계 삼성카드,3,SAMSUNG,CREDIT,생활,,15000
73,https://www.card-gorilla.com/card/detail/73,카드의정석 NEW우리V카드,6,WOORI,CREDIT,쇼핑,,5000
74,https://www.card-gorilla.com/card/detail/74,All For Me카드,6,WOORI,CREDIT,외식카페,,10000
77,https://www.card-gorilla.com/card/detail/77,위비멤버스카드,6,WOORI,CREDIT,외식카페,,12000
80,https://www.card-gorilla.com/card/detail/80,썸(SUM) 페이 카드,6,WOORI,CHECK,외식카페,,10000
81,https://www.card-gorilla.com/card/detail/81,위메프 우리카드,6,WOORI,CREDIT,외식카페,,12000
82,https://www.card-gorilla.com/card/detail/82,우리 XGOLF 카드,6,WOORI,CHECK,여행항공,,15000
