card_type,category_main,card_name,source_url,raw_text_snippet
CREDIT,교통자동차,신한카드 Hi-Point,https://www.card-gorilla.com/card/detail/1,"신한카드 Hi-Point | |신한카드 Hi-Point|신한카드 Hi-Point · 신한카드|전국가맹점 0.2~2.0% 적립 · 특정가맹점 1~5% 적립 · 에이치디현대오일뱅크 60원/L 적립|해외겸용 [8,000]원 · 없음 · VISA · Mastercard · JCB|쇼핑|백화점/할인점/홈쇼핑·온라인몰 1.0~5.0% 적립|모든가맹점|전국 가맹점 0."
CREDIT,문화여가,신한카드 Love,https://www.card-gorilla.com/card/detail/2,"신한카드 Love | |신한카드 Love|신한카드 Love · 신한카드|백화점/할인점 5% 할인 · 스타벅스 20% 할인 · GS칼텍스 60원/L 할인|해외겸용 [8,000]원 · 20만원 이상 · VISA · Mastercard · AMEX · UnionPay|백화점|국내 유명 백화점, 할인점, 온라인 쇼핑몰 최대 5% 할인|패밀리레스토랑|국내 유명 패밀"
CREDIT,생활,신한카드 Lady,https://www.card-gorilla.com/card/detail/3,"신한카드 Lady | |신한카드 Lady|신한카드 Lady · 신한카드|3대백화점 5% 할인 · 패밀리레스토랑 20% 할인 · 놀이공원 30~50% 할인|해외겸용 [5,000]원 · 30만원 이상 · VISA · Mastercard · UnionPay|쇼핑|3대 백화점(롯데,신세계,현대) 및 롯데마트 5% 결제일 할인|푸드|국내 유명 패밀리 레스토랑 및 커"
CREDIT,문화여가,신한카드 The CLASSIC-Y,https://www.card-gorilla.com/card/detail/8,"신한카드 The CLASSIC-Y | |신한카드 The CLASSIC-Y|신한카드 The CLASSIC-Y · 신한카드 · 71만원 혜택+공항라운지 무료 입장권 증정|Gift Option 매년1회 선택이용 · 마이신한포인트 0.7~5% 적립 · GS칼텍스 60원/L 할인|해외겸용 [100,000]원 · 없음 · VISA · Mastercard · Union"
CHECK,문화여가,신한카드 B.Big(삑),https://www.card-gorilla.com/card/detail/10,"신한카드 B.Big(삑) | |신한카드 B.Big(삑)|신한카드 B.Big(삑) · 신한카드|대중교통 200~600원 할인 · 택시 10% 할인 · KTX 10% 할인|해외겸용 [10,000]원 · 30만원 이상 · VISA · UnionPay|대중교통|버스, 지하철 후불 교통 이용 금액 일 200원 ~ 일 600원 할인|택시|택시/KTX 이용 금액 10%"
CREDIT,문화여가,신한카드 Simple+,https://www.card-gorilla.com/card/detail/11,"신한카드 Simple+ | |신한카드 Simple+|신한카드 Simple+ · 신한카드|전가맹점 0.7% 캐시백 · 이동통신요금 0.7% 추가캐시백 · 생활친화가맹점 월 10회 잔돈할인|국내겸용 [10,000]원 / 해외겸용 [13,000]원 · 없음 · VISA · Mastercard|모든가맹점|전가맹점 0.7% 캐시백, 이동통신요금 자동이체 건 추가 0"
CREDIT,여행항공,신한카드 Air Platinum#,https://www.card-gorilla.com/card/detail/12,"신한카드 Air Platinum# | |신한카드 Air Platinum#|신한카드 Air Platinum# · 신한카드|1,500원당 1마일 적립 · 1,000원당 1마일 적립|해외겸용 [40,000]원 · 없음 · VISA · Mastercard|항공마일리지|대한항공 1,500원당 1마일/아시아나항공 1,000원당 1마일|생활|마이신한포인트 추가 적립|프"
CREDIT,쇼핑,신한카드 Mr.Life,https://www.card-gorilla.com/card/detail/13,"신한카드 Mr.Life | |신한카드 Mr.Life|신한카드 Mr.Life · 신한카드 · 최대 73만원 혜택|공과금 10% 할인 · 마트,편의점 10% 할인 · 식음료 10% 할인|해외겸용 [15,000]원 · 30만원 이상 · VISA|공과금|월납요금(공과금) 10% 할인서비스 (전월실적 30만원 이상)|편의점|편의점 10% 할인 (전월실적 30만원 이"
CREDIT,쇼핑,신한카드 YOLO ⓘ,https://www.card-gorilla.com/card/detail/14,"신한카드 YOLO ⓘ | |신한카드 YOLO ⓘ|신한카드 YOLO ⓘ · 신한카드|6개가맹점 할인율 선택 · 스타벅스 쿠폰 제공|국내전용 [15,000]원 / 해외겸용 [18,000]원 · 30만원 이상 · VISA|선택형|할인율 선택 서비스|카페|스타벅스, 커피빈|편의점|GS25, 세븐일레븐, CU|소셜커머스|소셜커머스|택시|택시|베이커리|파리바게트, 뚜"
CREDIT,여행항공,신한카드 The CLASSIC+,https://www.card-gorilla.com/card/detail/15,"신한카드 The CLASSIC+ | |신한카드 The CLASSIC+|신한카드 The CLASSIC+ · 신한카드|1,500원당 1마일 적립 · 1,000원당 1마일 적립 · PP카드 무료 제공|해외겸용 [120,000]원 · 30만원 이상 · AMEX|바우처|Gift Option|항공마일리지|항공 마일리지 적립 서비스|면세점|제주 JDC 면세점 8% 결제"
