source_id,source_url,card_id,original_card_name,final_card_name
1,https://www.card-gorilla.com/card/detail/1,1,신한카드 Hi-Point,신한카드 Hi-Point
2,https://www.card-gorilla.com/card/detail/2,2,신한카드 Love,신한카드 Love
3,https://www.card-gorilla.com/card/detail/3,3,신한카드 Lady,신한카드 Lady
8,https://www.card-gorilla.com/card/detail/8,4,신한카드 The CLASSIC-Y,신한카드 The CLASSIC-Y
10,https://www.card-gorilla.com/card/detail/10,5,신한카드 B.Big(삑),신한카드 B.Big(삑)
11,https://www.card-gorilla.com/card/detail/11,6,신한카드 Simple+,신한카드 Simple+
12,https://www.card-gorilla.com/card/detail/12,7,신한카드 Air Platinum#,신한카드 Air Platinum#
13,https://www.card-gorilla.com/card/detail/13,8,신한카드 Mr.Life,신한카드 Mr.Life
14,https://www.card-gorilla.com/card/detail/14,9,신한카드 YOLO ⓘ,신한카드 YOLO ⓘ
15,https://www.card-gorilla.com/card/detail/15,10,신한카드 The CLASSIC+,신한카드 The CLASSIC+
16,https://www.card-gorilla.com/card/detail/16,11,신한카드 RPM+ Platinum#,신한카드 RPM+ Platinum#
18,https://www.card-gorilla.com/card/detail/18,12,신한카드 Shopping,신한카드 Shopping
21,https://www.card-gorilla.com/card/detail/21,13,신한카드 Simple Platinum#,신한카드 Simple Platinum#
26,https://www.card-gorilla.com/card/detail/26,14,신한카드 Edu,신한카드 Edu
28,https://www.card-gorilla.com/card/detail/28,15,신세계 신한카드,신세계 신한카드
35,https://www.card-gorilla.com/card/detail/35,16,GS칼텍스 신한카드 Shine,GS칼텍스 신한카드 Shine
36,https://www.card-gorilla.com/card/detail/36,17,신한카드 Cube Platinum#,신한카드 Cube Platinum#
37,https://www.card-gorilla.com/card/detail/37,18,신한카드 The BEST-F,신한카드 The BEST-F
38,https://www.card-gorilla.com/card/detail/38,19,신한카드 Lesson Platinum#,신한카드 Lesson Platinum#
39,https://www.card-gorilla.com/card/detail/39,20,신한카드 Deep Oil,신한카드 Deep Oil
41,https://www.card-gorilla.com/card/detail/41,21,신한카드 Deep On Platinum+,신한카드 Deep On Platinum+
42,https://www.card-gorilla.com/card/detail/42,22,SOCAR 제휴 SOCAR 신한카드,SOCAR 제휴 SOCAR 신한카드
