condition_id,source_url,condition_order,min_amount,max_amount,period_type
1,https://www.card-gorilla.com/card/detail/1,1,0,,MONTHLY
5,https://www.card-gorilla.com/card/detail/10,1,300000,,MONTHLY
476,https://www.card-gorilla.com/card/detail/1002,1,400000,,MONTHLY
477,https://www.card-gorilla.com/card/detail/1003,1,0,,MONTHLY
478,https://www.card-gorilla.com/card/detail/1006,1,500000,,MONTHLY
1256,https://www.card-gorilla.com/card/detail/1006,2,300000,,MONTHLY
479,https://www.card-gorilla.com/card/detail/1007,1,300000,,MONTHLY
480,https://www.card-gorilla.com/card/detail/1010,1,500000,,MONTHLY
481,https://www.card-gorilla.com/card/detail/1018,1,300000,,MONTHLY
482,https://www.card-gorilla.com/card/detail/1019,1,0,,MONTHLY
483,https://www.card-gorilla.com/card/detail/1032,1,0,,MONTHLY
484,https://www.card-gorilla.com/card/detail/1035,1,200000,,MONTHLY
60,https://www.card-gorilla.com/card/detail/106,1,300000,,MONTHLY
1250,https://www.card-gorilla.com/card/detail/106,2,600000,,MONTHLY
1251,https://www.card-gorilla.com/card/detail/106,3,1200000,,MONTHLY
61,https://www.card-gorilla.com/card/detail/107,1,300000,,MONTHLY
485,https://www.card-gorilla.com/card/detail/1073,1,300000,,MONTHLY
62,https://www.card-gorilla.com/card/detail/108,1,0,,MONTHLY
63,https://www.card-gorilla.com/card/detail/109,1,300000,,MONTHLY
6,https://www.card-gorilla.com/card/detail/11,1,0,,MONTHLY
64,https://www.card-gorilla.com/card/detail/112,1,300000,,MONTHLY
65,https://www.card-gorilla.com/card/detail/113,1,0,,MONTHLY
66,https://www.card-gorilla.com/card/detail/114,1,0,,MONTHLY
67,https://www.card-gorilla.com/card/detail/115,1,300000,,MONTHLY
1252,https://www.card-gorilla.com/card/detail/115,2,600000,,MONTHLY
1253,https://www.card-gorilla.com/card/detail/115,3,1200000,,MONTHLY
486,https://www.card-gorilla.com/card/detail/1155,1,500000,,MONTHLY
68,https://www.card-gorilla.com/card/detail/116,1,300000,,MONTHLY
487,https://www.card-gorilla.com/card/detail/1165,1,400000,,MONTHLY
488,https://www.card-gorilla.com/card/detail/1169,1,0,,MONTHLY
489,https://www.card-gorilla.com/card/detail/1171,1,0,,MONTHLY
490,https://www.card-gorilla.com/card/detail/1172,1,300000,,MONTHLY
491,https://www.card-gorilla.com/card/detail/1174,1,0,,MONTHLY
492,https://www.card-gorilla.com/card/detail/1180,1,500000,,MONTHLY
493,https://www.card-gorilla.com/card/detail/1184,1,0,,MONTHLY
494,https://www.card-gorilla.com/card/detail/1186,1,200000,,MONTHLY
495,https://www.card-gorilla.com/card/detail/1188,1,300000,,MONTHLY
496,https://www.card-gorilla.com/card/detail/1198,1,500000,,MONTHLY
7,https://www.card-gorilla.com/card/detail/12,1,0,,MONTHLY
