card_id,card_name,issuer_code_assigned,resolution,confirmed_benefits_added,review_benefits_added
2210,블랙핑크 카드,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,3,1
2271,밸런스 카드,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,3,0
2346,BC 바로 클리어 플러스,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,4,2
2347,BC 바로 리워드 플러스,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,0,0
2348,BC 바로 페이백 플러스,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,3,1
2350,부자되세요 덤카드,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,3,0
2351,부자되세요 홈쇼핑카드,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,3,1
2362,페이북 머니 체크카드,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,2,0
2380,신세계 BC 바로 콰트로 플러스,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,5,1
2381,신세계 BC 바로 아시아나 플러스,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,0,1
2382,신세계 BC 바로 리워드 플러스,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,2,1
2383,신세계 BC 바로 SEVEN FLEX,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,4,1
2384,신세계 BC 바로 클리어 플러스,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,2,1
2458,BC 바로 에어 플러스 스카이패스,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,0,2
2462,신세계 푸빌라 BC바로카드,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,5,1
2485,kt SUPER 카드,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,1,1
2501,부자되세요 The Oil 카드,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,7,0
2502,UPTURN카드,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,7,1
2503,키자니아 에듀카드,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,7,1
2518,컬리카드,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,0,1
2557,K-패스 카드,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,5,0
2591,BC 바로 On&Off 카드,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,3,2
2607,kt DC PLUS,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,1,1
2616,어디로든 그린카드,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,1,1
2644,GOAT BC 바로카드,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,0,1
2724,BC 바로 KaPick,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,5,1
2774,BC 바로 기후동행카드,BC,AUTO_RECOVERED_FROM_TITLE_SEGMENT,5,1
