card_id,min_amount,min_amount_source,category_id,group_name,benefit_type,rate,fixed_amount,unit_basis,raw_text
1,0,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,무이자/영화/테마파크
8,0,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,Gift Option Service - 매년 1회 옵션 품목 중 한 가지를 선택하여 이용
8,0,CARD_LEVEL,16,프리미엄,UNCLASSIFIED,,,,국제브랜드사 서비스 공통사항 안내
10,300000,CARD_LEVEL,10,영화,UNCLASSIFIED,,,,"CGV, 메가박스"
11,0,CARD_LEVEL,14,생활,UNCLASSIFIED,,,,"생활친화가맹점 잔돈할인 서비스, Coin-Save"
11,0,CARD_LEVEL,10,영화,UNCLASSIFIED,,,,온라인 영화 예매 할인
12,0,CARD_LEVEL,20,항공마일리지,UNCLASSIFIED,,,,"대한항공 1,500원당 1마일/아시아나항공 1,000원당 1마일"
12,0,CARD_LEVEL,14,생활,UNCLASSIFIED,,,,마이신한포인트 추가 적립
12,300000,INLINE,16,프리미엄,UNCLASSIFIED,,,,특급 호텔 발렛파킹/면세점 우대 서비스 (전월실적 30만원 이상)
14,300000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,할인율 선택 서비스
14,300000,CARD_LEVEL,18,카페,UNCLASSIFIED,,,,"스타벅스, 커피빈"
14,300000,CARD_LEVEL,19,편의점,UNCLASSIFIED,,,,"GS25, 세븐일레븐, CU"
14,300000,CARD_LEVEL,10,영화,UNCLASSIFIED,,,,"CGV, 롯데시네마"
14,300000,CARD_LEVEL,18,카페,UNCLASSIFIED,,,,스타벅스 모바일쿠폰 보너스 리워드 (분기별 실적 250만원 이상)
15,300000,CARD_LEVEL,23,바우처,UNCLASSIFIED,,,,Gift Option
15,300000,CARD_LEVEL,20,항공마일리지,UNCLASSIFIED,,,,항공 마일리지 적립 서비스
16,500000,CARD_LEVEL,3,주유,UNCLASSIFIED,,,,국내 주유소 리터당 40~150포인트/충전소 리터당 10~50포인트 적립
