card_id,min_amount,min_amount_source,category_id,group_name,benefit_type,rate,fixed_amount,unit_basis,unit_type,raw_text
1,0,CARD_LEVEL,1,쇼핑,RATE_DISCOUNT,5.0,,,,백화점/할인점/홈쇼핑·온라인몰 1.0~5.0% 적립
1,0,CARD_LEVEL,2,모든가맹점,RATE_DISCOUNT,2.0,,,,"전국 가맹점 0.2~2.0% 적립
해외 가맹점 1~5% 적립"
1,0,CARD_LEVEL,3,주유,FIXED_AMOUNT,,60,,,"S-OIL, 에이치디현대오일뱅크 주유 시 리터 당 60원 적립"
1,0,CARD_LEVEL,4,금융,RATE_DISCOUNT,0.2,,,,"신한투자증권 CMA 결제계좌 0.2% 추가 적립
마이신한포인트 가맹점 추가 적립"
1,0,CARD_LEVEL,5,통신,RATE_DISCOUNT,5.0,,,,SK텔레콤/KT/LG U+ 이동통신요금 1.0~5.0% 적립
2,200000,CARD_LEVEL,7,백화점,RATE_DISCOUNT,5.0,,,,"국내 유명 백화점, 할인점, 온라인 쇼핑몰 최대 5% 할인"
2,200000,CARD_LEVEL,8,패밀리레스토랑,RATE_DISCOUNT,30.0,,,,"국내 유명 패밀리레스토랑, 커피 20~30% 할인"
2,200000,CARD_LEVEL,9,주유소,FIXED_AMOUNT,,60,,,GS칼텍스 리터당 60원 할인
2,200000,CARD_LEVEL,10,영화,FIXED_AMOUNT,,7000,,,"CGV, YES24 영화 예매시 최대 7,000원 할인"
2,200000,CARD_LEVEL,11,테마파크,RATE_DISCOUNT,50.0,,,,주요 놀이공원 30~50% 할인 및 스포츠 할인 서비스
3,300000,CARD_LEVEL,1,쇼핑,RATE_DISCOUNT,5.0,,,,"3대 백화점(롯데,신세계,현대) 및 롯데마트 5% 결제일 할인"
3,300000,CARD_LEVEL,12,푸드,RATE_DISCOUNT,20.0,,,,국내 유명 패밀리 레스토랑 및 커피 최대 20% 할인
3,300000,CARD_LEVEL,10,영화,FIXED_AMOUNT,,1500,,,"맥스무비, 인터파크 YES24 예매시 1,500원 할인"
3,300000,CARD_LEVEL,9,주유소,FIXED_AMOUNT,,60,,,S-OIL 주유 시 리터 당 60원 적립
3,300000,CARD_LEVEL,11,테마파크,RATE_DISCOUNT,50.0,,,,주요 놀이공원 최대 50% 할인
3,300000,CARD_LEVEL,5,통신,RATE_DISCOUNT,2.0,,,,"이동통신요금 자동이체 시 2% 결제일 할인(SKT, KT, LGT)"
8,0,CARD_LEVEL,9,주유소,FIXED_AMOUNT,,60,,,GS칼텍스 주유 시 리터당 60원 결제일 할인
8,0,CARD_LEVEL,14,생활,RATE_DISCOUNT,5.0,,,,커피/제과/택시/화장품/영화 5% 할인
8,0,CARD_LEVEL,15,면세점,RATE_DISCOUNT,8.0,,,,제주 JDC 면세점 이용 시 8% 할인
10,300000,CARD_LEVEL,17,대중교통,FIXED_AMOUNT,,200,,,"버스, 지하철 후불 교통 이용 금액 일 200원 ~ 일 600원 할인"
10,300000,CARD_LEVEL,7,백화점,RATE_DISCOUNT,5.0,,,,4대 백화점 5% 할인
10,300000,CARD_LEVEL,18,카페,RATE_DISCOUNT,10.0,,,,커피전문점 10% 할인
10,300000,CARD_LEVEL,19,편의점,RATE_DISCOUNT,5.0,,,,편의점 5% 할인
10,300000,CARD_LEVEL,5,통신,RATE_DISCOUNT,5.0,,,,이동통신요금 5% 할인
11,0,CARD_LEVEL,2,모든가맹점,RATE_DISCOUNT,0.7,,,,"전가맹점 0.7% 캐시백, 이동통신요금 자동이체 건 추가 0.7% 캐시백"
13,300000,INLINE,19,편의점,RATE_DISCOUNT,10.0,,,,편의점 10% 할인 (전월실적 30만원 이상)
13,300000,INLINE,14,생활,RATE_DISCOUNT,10.0,,,,세탁소 업종 10% 할인 (전월실적 30만원 이상)
13,300000,INLINE,21,온라인쇼핑,RATE_DISCOUNT,10.0,,,,온라인 쇼핑 10% 할인 (전월실적 30만원 이상)
13,300000,INLINE,12,푸드,RATE_DISCOUNT,10.0,,,,식음료 10% 할인 (전월실적 30만원 이상)
13,300000,INLINE,22,대형마트,RATE_DISCOUNT,10.0,,,,3대 마트 10% 할인 (전월실적 30만원 이상)
13,300000,INLINE,9,주유소,FIXED_AMOUNT,,60,,,4대 정유사 리터당 60원 할인 (전월실적 30만원 이상)
13,300000,INLINE,21,온라인쇼핑,RATE_DISCOUNT,20.0,,,,인테이크몰 20% 할인 (전월실적 30만원 이상)
15,300000,CARD_LEVEL,15,면세점,RATE_DISCOUNT,8.0,,,,제주 JDC 면세점 8% 결제일 할인
15,300000,CARD_LEVEL,9,주유소,FIXED_AMOUNT,,40,,,GS칼텍스 주유 시 리터당 40원 결제일 할인
15,300000,CARD_LEVEL,18,카페,FIXED_AMOUNT,,3000,,,"스타벅스 3,000원 할인"
16,500000,CARD_LEVEL,1,쇼핑,RATE_DISCOUNT,5.0,,,,1~5% 특별적립
16,500000,CARD_LEVEL,24,마트/편의점,RATE_DISCOUNT,5.0,,,,1~5% 특별적립
16,500000,CARD_LEVEL,25,정비,RATE_DISCOUNT,5.0,,,,1~5% 특별적립
