card_id,brand_name,annual_fee_domestic,annual_fee_overseas
1,VISA,,8000
1,Mastercard,,8000
1,JCB,,8000
2,VISA,,8000
2,Mastercard,,8000
2,UnionPay,,8000
2,AMEX,,8000
3,VISA,,5000
3,Mastercard,,5000
3,UnionPay,,5000
8,VISA,,100000
8,Mastercard,,100000
8,UnionPay,,100000
10,VISA,,10000
10,UnionPay,,10000
11,VISA,10000,13000
11,Mastercard,10000,13000
12,VISA,,40000
12,Mastercard,,40000
13,VISA,,15000
14,VISA,,18000
15,AMEX,,120000
16,VISA,,32000
16,UnionPay,,32000
18,VISA,,20000
21,VISA,,30000
21,UnionPay,,30000
21,JCB,,30000
26,Mastercard,,20000
28,Mastercard,,12000
28,UnionPay,,12000
35,VISA,,7000
35,Mastercard,,7000
36,VISA,,32000
36,Mastercard,,32000
36,AMEX,,32000
37,VISA,,202000
38,AMEX,,27000
39,Mastercard,,10000
41,Mastercard,,33000
41,UnionPay,,33000
42,VISA,,13000
43,Mastercard,,13000
45,AMEX,,15000
46,Mastercard,,10000
49,AMEX,,49000
50,Mastercard,,
51,Mastercard,,10000
52,Mastercard,,10000
53,Mastercard,,
54,AMEX,,99000
55,Mastercard,,10000
56,Mastercard,,
56,UnionPay,,
57,Mastercard,,
57,UnionPay,,
58,Mastercard,,49000
59,Mastercard,,49000
61,AMEX,,
62,Mastercard,,18000
63,Mastercard,,10000
64,Mastercard,,20000
72,Mastercard,,15000
73,VISA,,5000
73,Mastercard,,5000
73,UnionPay,,5000
73,BC,,5000
74,VISA,,10000
74,Mastercard,,10000
74,UnionPay,,10000
77,Mastercard,,12000
77,BC,,12000
80,Mastercard,,10000
80,UnionPay,,10000
81,Mastercard,,12000
81,UnionPay,,12000
81,BC,,12000
82,Mastercard,,15000
82,BC,,15000
83,Mastercard,,15000
83,BC,,15000
84,VISA,,12000
84,Mastercard,,12000
84,BC,,12000
85,VISA,,12000
85,Mastercard,,12000
85,UnionPay,,12000
86,VISA,,12000
86,Mastercard,,12000
86,UnionPay,,12000
87,Mastercard,,10000
87,BC,,10000
88,Mastercard,,10000
88,BC,,10000
89,VISA,,20000
89,UnionPay,,20000
89,BC,,20000
90,Mastercard,,15000
90,BC,,15000
91,Mastercard,,110000
91,BC,,110000
92,Mastercard,,135000
92,BC,,135000
93,Mastercard,,135000
93,BC,,135000
94,VISA,,10000
94,Mastercard,,10000
94,UnionPay,,10000
106,VISA,,10000
106,Mastercard,,10000
106,UnionPay,,10000
106,JCB,,10000
106,AMEX,,10000
107,VISA,,5000
107,Mastercard,,5000
108,VISA,,10000
108,Mastercard,,10000
108,UnionPay,,10000
108,JCB,,10000
108,AMEX,,10000
109,Mastercard,,12000
109,JCB,,12000
112,Mastercard,,12000
112,AMEX,,12000
113,Mastercard,,20000
114,Mastercard,,20000
115,VISA,,20000
115,Mastercard,,20000
115,AMEX,,20000
116,Mastercard,,20000
120,Mastercard,,15000
121,VISA,,15000
121,Mastercard,,15000
121,UnionPay,,15000
122,VISA,,1000
122,Mastercard,,1000
125,Mastercard,,20000
126,Mastercard,,30000
127,Mastercard,,15000
127,UnionPay,,15000
129,Mastercard,,12000
129,JCB,,12000
130,Mastercard,,295000
130,UnionPay,,295000
131,Mastercard,,295000
131,UnionPay,,295000
132,Mastercard,,17000
133,Mastercard,,200000
133,UnionPay,,200000
134,Mastercard,,15000
136,Mastercard,,15000
138,VISA,,15000
138,Mastercard,,15000
138,JCB,,15000
139,VISA,,15000
139,Mastercard,,15000
140,VISA,,10000
140,Mastercard,,10000
141,Mastercard,,30000
142,Mastercard,,20000
143,Mastercard,,15000
144,Mastercard,,15000
145,Mastercard,,15000
146,Mastercard,,15000
148,Mastercard,,15000
152,Mastercard,,35000
156,VISA,,8000
156,Mastercard,,8000
162,Mastercard,,10000
163,Mastercard,,25000
164,Mastercard,,25000
166,Mastercard,,8000
166,JCB,,8000
167,Mastercard,,25000
174,UnionPay,,
175,Mastercard,,10000
176,VISA,,10000
176,UnionPay,,10000
185,Mastercard,,10000
185,UnionPay,,10000
186,VISA,,10000
186,Mastercard,,10000
186,JCB,,10000
191,VISA,,10000
191,JCB,,10000
192,UnionPay,,15000
193,Mastercard,,15000
193,JCB,,15000
194,VISA,,5000
194,Mastercard,,5000
194,UnionPay,,5000
194,JCB,,5000
194,AMEX,,5000
197,Mastercard,,15000
198,Mastercard,,15000
199,Mastercard,,15000
200,Mastercard,,15000
201,VISA,,15000
201,Mastercard,,15000
203,VISA,,18000
203,Mastercard,,18000
203,AMEX,,18000
204,VISA,,18000
204,Mastercard,,18000
204,AMEX,,18000
205,VISA,,18000
205,Mastercard,,18000
205,AMEX,,18000
206,VISA,,15000
206,Mastercard,,15000
206,AMEX,,15000
207,Mastercard,,
214,VISA,,15000
214,Mastercard,,15000
215,VISA,,15000
215,Mastercard,,15000
217,VISA,,15000
217,Mastercard,,15000
227,VISA,,25000
227,Mastercard,,25000
227,UnionPay,,25000
227,JCB,,25000
227,AMEX,,25000
228,VISA,,5000
228,Mastercard,,5000
228,UnionPay,,5000
231,VISA,,10000
231,Mastercard,,10000
232,VISA,,10000
232,Mastercard,,10000
232,JCB,,10000
234,VISA,,10000
234,Mastercard,,10000
237,VISA,,10000
237,JCB,,10000
238,VISA,,10000
238,Mastercard,,10000
238,JCB,,10000
239,VISA,,10000
239,Mastercard,,10000
239,JCB,,10000
240,VISA,,10000
240,Mastercard,,10000
240,JCB,,10000
241,VISA,,10000
241,Mastercard,,10000
241,JCB,,10000
242,AMEX,,45000
243,AMEX,,45000
244,AMEX,,130000
245,AMEX,,130000
246,VISA,,17000
246,JCB,,17000
247,Mastercard,,12000
247,UnionPay,,12000
248,Mastercard,,12000
248,UnionPay,,12000
250,Mastercard,,17000
250,UnionPay,,17000
251,Mastercard,,15000
252,VISA,,15000
252,Mastercard,,15000
252,UnionPay,,15000
252,JCB,,15000
252,AMEX,,15000
254,VISA,,17000
254,Mastercard,,17000
270,VISA,,10000
270,UnionPay,,10000
