card_id,card_name,issuer_code_before,issuer_code_after,resolution
109,SK에너지 러브유 KB국민카드,SHINHAN,KB,AUTO_CORRECTED_FROM_TITLE_SEGMENT
407,현대카드M CHECK,SHINHAN,HYUNDAI,AUTO_CORRECTED_FROM_TITLE_SEGMENT
480,카카오 T 하나카드,SHINHAN,HANA,AUTO_CORRECTED_FROM_TITLE_SEGMENT
539,샤롯데 비앤 롯데카드,KB,LOTTE,AUTO_CORRECTED_FROM_TITLE_SEGMENT
599,AK우리카드 체크,HYUNDAI,WOORI,AUTO_CORRECTED_FROM_TITLE_SEGMENT
616,다이소 삼성카드,SHINHAN,SAMSUNG,AUTO_CORRECTED_FROM_TITLE_SEGMENT
664,New PAYCO 롯데카드,HYUNDAI,LOTTE,AUTO_CORRECTED_FROM_TITLE_SEGMENT
691,요기요 삼성카드,SHINHAN,SAMSUNG,AUTO_CORRECTED_FROM_TITLE_SEGMENT
728,언택트 L 하나카드,WOORI,HANA,AUTO_CORRECTED_FROM_TITLE_SEGMENT
776,홈플러스 삼성카드,SHINHAN,SAMSUNG,AUTO_CORRECTED_FROM_TITLE_SEGMENT
784,LG U+ 삼성카드,SHINHAN,SAMSUNG,AUTO_CORRECTED_FROM_TITLE_SEGMENT
785,KT 삼성카드,SHINHAN,SAMSUNG,AUTO_CORRECTED_FROM_TITLE_SEGMENT
940,CHALLENGE BAG KB국민카드,SHINHAN,KB,AUTO_CORRECTED_FROM_TITLE_SEGMENT
951,넥센타이어 우리카드,KB,WOORI,AUTO_CORRECTED_FROM_TITLE_SEGMENT
952,SK Oil 400 우리카드,SHINHAN,WOORI,AUTO_CORRECTED_FROM_TITLE_SEGMENT
1002,Mobile x LOCA 롯데카드,KB,LOTTE,AUTO_CORRECTED_FROM_TITLE_SEGMENT
1180,풀무원 하나카드,SHINHAN,HANA,AUTO_CORRECTED_FROM_TITLE_SEGMENT
1233,LG전자 KB국민카드,SHINHAN,KB,AUTO_CORRECTED_FROM_TITLE_SEGMENT
1248,바디프랜드 하나카드,WOORI,HANA,AUTO_CORRECTED_FROM_TITLE_SEGMENT
1340,New Happy 하나카드,LOTTE,HANA,AUTO_CORRECTED_FROM_TITLE_SEGMENT
1380,넥센타이어 KB국민카드,SHINHAN,KB,AUTO_CORRECTED_FROM_TITLE_SEGMENT
1382,몰테일 KB국민카드,SHINHAN,KB,AUTO_CORRECTED_FROM_TITLE_SEGMENT
1519,LG전자 렌탈 플러스 하나카드,KB,HANA,AUTO_CORRECTED_FROM_TITLE_SEGMENT
1754,뉴GS칼텍스 롯데카드,SHINHAN,LOTTE,AUTO_CORRECTED_FROM_TITLE_SEGMENT
1980,LG전자 베스트렌탈 우리카드,SHINHAN,WOORI,AUTO_CORRECTED_FROM_TITLE_SEGMENT
1984,동양생명 우리카드,KB,WOORI,AUTO_CORRECTED_FROM_TITLE_SEGMENT
2005,GS&POINT 롯데카드,SHINHAN,LOTTE,AUTO_CORRECTED_FROM_TITLE_SEGMENT
2071,삼성페이 롯데카드,SAMSUNG,LOTTE,AUTO_CORRECTED_FROM_TITLE_SEGMENT
2149,이랜드리테일 롯데카드,SAMSUNG,LOTTE,AUTO_CORRECTED_FROM_TITLE_SEGMENT
2199,산림조합-현대카드M(청구할인형),SHINHAN,HYUNDAI,AUTO_CORRECTED_FROM_TITLE_SEGMENT
2251,오케이몰 우리카드,SHINHAN,WOORI,AUTO_CORRECTED_FROM_TITLE_SEGMENT
2301,원스토어 1 하나카드,SHINHAN,HANA,AUTO_CORRECTED_FROM_TITLE_SEGMENT
